suite,dir,tier,condition,policy,sketch_route,rollout_idx,skipped,skip_reason,n_steps,success_final,success_sustained,first_success_step,grasp_success_flag,grasped_any,lifted,grasped_instance,correct_instance_grasped,nearest_destination,correct_destination,terminal_dist_xy,sketch_referent_object,sketch_referent_destination,sketch_fidelity_object,sketch_fidelity_destination,deproject,z_pick,z_place,n_infer_calls,infer_ms_mean
spatial,scene_0013,referential,text_only,pi05,tokens,1,False,,240,False,False,,True,True,True,akita_black_bowl_1,False,,False,0.1408,,,,,plane,,,48,86.1
spatial,scene_0013,referential,text_only,pi05,tokens,2,False,,240,False,False,,True,True,True,akita_black_bowl_2,True,,False,0.1154,,,,,plane,,,48,85.7
spatial,scene_0014,referential,text_only,pi05,tokens,0,False,,240,False,True,95,True,True,True,akita_black_bowl_5,True,plate_1,True,0.0286,,,,,plane,,,48,86.8
spatial,scene_0014,referential,text_only,pi05,tokens,1,False,,240,False,False,,True,True,True,akita_black_bowl_1,False,plate_1,True,0.0122,,,,,plane,,,48,86.2
spatial,scene_0014,referential,text_only,pi05,tokens,2,False,,240,False,True,95,True,True,True,akita_black_bowl_5,True,,False,0.2633,,,,,plane,,,48,86.6
spatial,scene_0015,referential,text_only,pi05,tokens,0,False,,240,False,False,,True,True,True,akita_black_bowl_2,True,,False,0.2838,,,,,plane,,,48,87.4
spatial,scene_0015,referential,text_only,pi05,tokens,1,False,,240,False,False,,True,True,True,akita_black_bowl_2,True,,False,0.2892,,,,,plane,,,48,86.0
spatial,scene_0015,referential,text_only,pi05,tokens,2,False,,240,False,False,,True,True,True,akita_black_bowl_2,True,,False,0.3701,,,,,plane,,,48,85.8
spatial,scene_0018,directional,text_only,pi05,tokens,0,False,,240,True,True,104,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0106,,,,,plane,,,48,85.6
spatial,scene_0018,directional,text_only,pi05,tokens,1,False,,240,True,True,108,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0199,,,,,plane,,,48,85.0
spatial,scene_0018,directional,text_only,pi05,tokens,2,False,,240,True,True,113,True,True,True,akita_black_bowl_1,True,plate_1,True,0.0132,,,,,plane,,,48,83.6
spatial,scene_0019,directional,text_only,pi05,tokens,0,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,plate_1,False,0.0027,,,,,plane,,,48,85.8
spatial,scene_0019,directional,text_only,pi05,tokens,1,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,plate_1,False,0.0166,,,,,plane,,,48,85.1
spatial,scene_0019,directional,text_only,pi05,tokens,2,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,plate_1,False,0.0126,,,,,plane,,,48,85.3
spatial,scene_0020,directional,text_only,pi05,tokens,0,False,,240,True,True,105,True,True,True,akita_black_bowl_1,True,plate_3,True,0.0106,,,,,plane,,,48,85.0
spatial,scene_0020,directional,text_only,pi05,tokens,1,False,,240,True,True,115,True,True,True,akita_black_bowl_1,True,plate_3,True,0.0115,,,,,plane,,,48,85.9
spatial,scene_0020,directional,text_only,pi05,tokens,2,False,,240,True,True,112,True,True,True,akita_black_bowl_1,True,plate_3,True,0.0117,,,,,plane,,,48,86.7
spatial,scene_0022,directional,text_only,pi05,tokens,0,False,,240,True,True,83,True,True,True,akita_black_bowl_1,True,plate_3,True,0.0045,,,,,plane,,,48,85.6
spatial,scene_0022,directional,text_only,pi05,tokens,1,False,,240,True,True,80,True,True,True,akita_black_bowl_1,True,plate_3,True,0.0227,,,,,plane,,,48,85.2
spatial,scene_0022,directional,text_only,pi05,tokens,2,False,,240,False,True,81,True,True,True,akita_black_bowl_1,True,plate_3,True,0.0262,,,,,plane,,,48,86.4
spatial,scene_0023,directional,text_only,pi05,tokens,0,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,plate_3,False,0.0087,,,,,plane,,,48,86.3
spatial,scene_0023,directional,text_only,pi05,tokens,1,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,,False,0.0929,,,,,plane,,,48,86.2
spatial,scene_0023,directional,text_only,pi05,tokens,2,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,plate_3,False,0.0069,,,,,plane,,,48,86.1
spatial,scene_0024,directional,text_only,pi05,tokens,0,False,,240,False,False,,True,True,True,akita_black_bowl_1,True,plate_2,False,0.0173,,,,,plane,,,48,85.1
